Time,Joystick Value,Lateral Error,PID Correction,X Position,Y Position,Theta
0,0,0,0,350.0,614.1666666666666,-1.5707963267948966
0.016666666666666666,0,0,0,350.0,613.3333333333333,-1.5707963267948966
0.03333333333333333,0,0,0,350.0,612.4999999999999,-1.5707963267948966
0.05,0,0,0,350.0,611.6666666666665,-1.5707963267948966
0.06666666666666667,0,0,0,350.0,610.8333333333331,-1.5707963267948966
0.08333333333333333,0,0,0,350.0,609.9999999999998,-1.5707963267948966
0.09999999999999999,0,0,0,350.0,609.1666666666664,-1.5707963267948966
0.11666666666666665,0,0,0,350.0,608.333333333333,-1.5707963267948966
0.13333333333333333,0,0,0,350.0,607.4999999999997,-1.5707963267948966
0.15,0,0,0,350.0,606.6666666666663,-1.5707963267948966
0.16666666666666666,0,0,0,350.0,605.8333333333329,-1.5707963267948966
0.18333333333333332,0,0,0,350.0,604.9999999999995,-1.5707963267948966
0.19999999999999998,0,0,0,350.0,604.1666666666662,-1.5707963267948966
0.21666666666666665,0,0,0,350.0,603.3333333333328,-1.5707963267948966
0.2333333333333333,0,0,0,350.0,602.4999999999994,-1.5707963267948966
0.24999999999999997,0,0,0,350.0,601.6666666666661,-1.5707963267948966
0.26666666666666666,0,0,0,350.0,600.8333333333327,-1.5707963267948966
0.2833333333333333,0,0,0,350.0,599.9999999999993,-1.5707963267948966
0.3,0,0,0,350.0,599.166666666666,-1.5707963267948966
0.31666666666666665,0,0,0,350.0,598.3333333333326,-1.5707963267948966
0.3333333333333333,0,0,0,350.0,597.4999999999992,-1.5707963267948966
0.35,0,0,0,350.0,596.6666666666658,-1.5707963267948966
0.36666666666666664,0,0,0,350.0,595.8333333333325,-1.5707963267948966
0.3833333333333333,0,0,0,350.0,594.9999999999991,-1.5707963267948966
0.39999999999999997,0,0,0,350.0,594.1666666666657,-1.5707963267948966
0.41666666666666663,0,0,0,350.0,593.3333333333323,-1.5707963267948966
0.4333333333333333,0,0,0,350.0,592.499999999999,-1.5707963267948966
0.44999999999999996,0,0,0,350.0,591.6666666666656,-1.5707963267948966
0.4666666666666666,0,0,0,350.0,590.8333333333322,-1.5707963267948966
0.4833333333333333,0,0,0,350.0,589.9999999999989,-1.5707963267948966
0.49999999999999994,0,0,0,350.0,589.1666666666655,-1.5707963267948966
0.5166666666666666,0,0,0,350.0,588.3333333333321,-1.5707963267948966
0.5333333333333333,0,0,0,350.0,587.4999999999987,-1.5707963267948966
0.55,0,0,0,350.0,586.6666666666654,-1.5707963267948966
0.5666666666666668,0,0,0,350.0,585.833333333332,-1.5707963267948966
0.5833333333333335,0,0,0,350.0,584.9999999999986,-1.5707963267948966
0.6000000000000002,0,0,0,350.0,584.1666666666653,-1.5707963267948966
0.6166666666666669,0,0,0,350.0,583.3333333333319,-1.5707963267948966
0.6333333333333336,0,0,0,350.0,582.4999999999985,-1.5707963267948966
0.6500000000000004,0,0,0,350.0,581.6666666666652,-1.5707963267948966
0.6666666666666671,0,0,0,350.0,580.8333333333318,-1.5707963267948966
0.6833333333333338,0,0,0,350.0,579.9999999999984,-1.5707963267948966
0.7000000000000005,0,0,0,350.0,579.166666666665,-1.5707963267948966
0.7166666666666672,0,0,0,350.0,578.3333333333317,-1.5707963267948966
0.733333333333334,0,0,0,350.0,577.4999999999983,-1.5707963267948966
0.7500000000000007,0,0,0,350.0,576.6666666666649,-1.5707963267948966
0.7666666666666674,0,0,0,350.0,575.8333333333316,-1.5707963267948966
0.7833333333333341,0,0,0,350.0,574.9999999999982,-1.5707963267948966
0.8000000000000008,0,0,0,350.0,574.1666666666648,-1.5707963267948966
0.8166666666666675,0,0,0,350.0,573.3333333333314,-1.5707963267948966
0.8333333333333343,0,0,0,350.0,572.4999999999981,-1.5707963267948966
0.850000000000001,0,0,0,350.0,571.6666666666647,-1.5707963267948966
0.8666666666666677,0,0,0,350.0,570.8333333333313,-1.5707963267948966
0.8833333333333344,0,0,0,350.0,569.999999999998,-1.5707963267948966
0.9000000000000011,0,0,0,350.0,569.1666666666646,-1.5707963267948966
0.9166666666666679,0,0,0,350.0,568.3333333333312,-1.5707963267948966
0.9333333333333346,0,0,0,350.0,567.4999999999978,-1.5707963267948966
0.9500000000000013,0,0,0,350.0,566.6666666666645,-1.5707963267948966
0.966666666666668,0,0,0,350.0,565.8333333333311,-1.5707963267948966
0.9833333333333347,0,0,0,350.0,564.9999999999977,-1.5707963267948966
1.0000000000000013,0.2862548828125,0,0,350.0,564.1666666666644,-1.5707963267948966
1.016666666666668,0.654876708984375,0,0,350.0,563.3333546722655,-1.570677054945122
1.0333333333333345,0.999969482421875,0,0,350.0000993658652,562.5002505918459,-1.5702861453601962
1.0500000000000012,0.999969482421875,0,0,350.00052402283546,561.6678860553698,-1.5694827668621718
1.0666666666666678,0.999969482421875,0,0,350.00161576129,560.8367569995881,-1.5682715286218396
1.0833333333333344,0.999969482421875,0,0,350.00370986494727,560.0073444826222,-1.56665722556795
